Tungsten - LTE
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	4.9360E-01
3.0000E+00	3.8235E+00
5.0000E+00	2.4440E-02
7.0000E+00	9.3935E-03
9.0000E+00	3.3414E-02
1.1000E+01	4.8957E-02
1.3000E+01	6.0969E-02
1.5000E+01	7.4837E-02
1.7000E+01	9.2826E-02
1.9000E+01	1.2010E-01
2.1000E+01	6.2796E-01
2.3000E+01	9.8740E-01
2.5000E+01	1.3300E+00
2.7000E+01	1.7600E+00
2.9000E+01	2.2790E+00
3.1000E+01	2.8152E+00
3.3000E+01	3.4066E+00
3.5000E+01	4.1629E+00
3.7000E+01	5.0964E+00
3.9000E+01	6.1633E+00
Tungsten - LTE
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	3.2821E-01
3.0000E+00	2.1705E+01
5.0000E+00	2.0500E-01
7.0000E+00	5.2580E-02
9.0000E+00	5.7516E-02
1.1000E+01	1.6375E-01
1.3000E+01	2.0641E-01
1.5000E+01	2.4121E-01
1.7000E+01	2.9163E-01
1.9000E+01	3.4875E-01
2.1000E+01	4.2020E-01
2.3000E+01	9.6911E-01
2.5000E+01	2.3727E+00
2.7000E+01	3.1720E+00
2.9000E+01	4.0725E+00
3.1000E+01	5.1686E+00
3.3000E+01	6.4187E+00
3.5000E+01	7.7287E+00
3.7000E+01	9.1689E+00
3.9000E+01	1.0901E+01
Tungsten - LTE
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	9.5776E-02
3.0000E+00	2.3305E+01
5.0000E+00	5.8248E+00
7.0000E+00	2.5196E-01
9.0000E+00	1.6109E-01
1.1000E+01	2.8395E-01
1.3000E+01	6.0490E-01
1.5000E+01	7.9999E-01
1.7000E+01	8.7731E-01
1.9000E+01	1.0205E+00
2.1000E+01	1.1925E+00
2.3000E+01	1.4018E+00
2.5000E+01	1.6777E+00
2.7000E+01	3.2639E+00
2.9000E+01	6.0880E+00
3.1000E+01	7.9469E+00
3.3000E+01	1.0048E+01
3.5000E+01	1.2520E+01
3.7000E+01	1.5329E+01
3.9000E+01	1.8367E+01
