Aluminium
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	6.6547E-06
3.0000E+00	2.1962E-04
5.0000E+00	7.0399E-05
7.0000E+00	3.3706E-05
9.0000E+00	6.1271E-05
1.1000E+01	1.3663E-04
1.3000E+01	2.4788E-04
1.5000E+01	4.6475E-04
1.7000E+01	7.3599E-04
1.9000E+01	1.0628E-03
2.1000E+01	1.4589E-03
2.3000E+01	1.8947E-03
2.5000E+01	2.3551E-03
2.7000E+01	2.8553E-03
2.9000E+01	3.4125E-03
3.1000E+01	4.0366E-03
3.3000E+01	4.7251E-03
3.5000E+01	5.4689E-03
3.7000E+01	6.2586E-03
3.9000E+01	7.0817E-03
Aluminium
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	4.3678E-05
3.0000E+00	7.1878E-04
5.0000E+00	6.2914E-04
7.0000E+00	3.4439E-04
9.0000E+00	7.0070E-04
1.1000E+01	1.2222E-03
1.3000E+01	2.2706E-03
1.5000E+01	3.6712E-03
1.7000E+01	5.3183E-03
1.9000E+01	7.3575E-03
2.1000E+01	9.2498E-03
2.3000E+01	1.1178E-02
2.5000E+01	1.3639E-02
2.7000E+01	1.6735E-02
2.9000E+01	2.0314E-02
3.1000E+01	2.4221E-02
3.3000E+01	2.8384E-02
3.5000E+01	3.2769E-02
3.7000E+01	3.7323E-02
3.9000E+01	4.1983E-02
Aluminium
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	1.2929E-04
3.0000E+00	1.8770E-03
5.0000E+00	3.8497E-03
7.0000E+00	2.6361E-03
9.0000E+00	4.3757E-03
1.1000E+01	9.7932E-03
1.3000E+01	1.9977E-02
1.5000E+01	3.2846E-02
1.7000E+01	4.7887E-02
1.9000E+01	6.1758E-02
2.1000E+01	7.3705E-02
2.3000E+01	8.9239E-02
2.5000E+01	1.0897E-01
2.7000E+01	1.3054E-01
2.9000E+01	1.5309E-01
3.1000E+01	1.7668E-01
3.3000E+01	2.0077E-01
3.5000E+01	2.2443E-01
3.7000E+01	2.4702E-01
3.9000E+01	2.6815E-01
