Silicon
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	2.0614E-05
3.0000E+00	1.6673E-04
5.0000E+00	4.7602E-04
7.0000E+00	2.1315E-04
9.0000E+00	1.0555E-04
1.1000E+01	8.2385E-05
1.3000E+01	1.2804E-04
1.5000E+01	2.5637E-04
1.7000E+01	4.3571E-04
1.9000E+01	6.6013E-04
2.1000E+01	9.7015E-04
2.3000E+01	1.3738E-03
2.5000E+01	1.8537E-03
2.7000E+01	2.3955E-03
2.9000E+01	2.9905E-03
3.1000E+01	3.6330E-03
3.3000E+01	4.3152E-03
3.5000E+01	5.0294E-03
3.7000E+01	5.7709E-03
3.9000E+01	6.5338E-03
Silicon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	7.4208E-05
3.0000E+00	5.0234E-04
5.0000E+00	2.5792E-03
7.0000E+00	1.8557E-03
9.0000E+00	9.8809E-04
1.1000E+01	8.5836E-04
1.3000E+01	1.4099E-03
1.5000E+01	2.2744E-03
1.7000E+01	3.3239E-03
1.9000E+01	5.0019E-03
2.1000E+01	7.0949E-03
2.3000E+01	9.4166E-03
2.5000E+01	1.2064E-02
2.7000E+01	1.4976E-02
2.9000E+01	1.7986E-02
3.1000E+01	2.1074E-02
3.3000E+01	2.4351E-02
3.5000E+01	2.7943E-02
3.7000E+01	3.1899E-02
3.9000E+01	3.6212E-02
Silicon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	1.0818E-04
3.0000E+00	1.5591E-03
5.0000E+00	6.9663E-03
7.0000E+00	1.0888E-02
9.0000E+00	8.1089E-03
1.1000E+01	7.8684E-03
1.3000E+01	1.3660E-02
1.5000E+01	2.2002E-02
1.7000E+01	3.3529E-02
1.9000E+01	4.8424E-02
2.1000E+01	6.3875E-02
2.3000E+01	8.0656E-02
2.5000E+01	9.7182E-02
2.7000E+01	1.1220E-01
2.9000E+01	1.2781E-01
3.1000E+01	1.4627E-01
3.3000E+01	1.6783E-01
3.5000E+01	1.9147E-01
3.7000E+01	2.1616E-01
3.9000E+01	2.4131E-01
