Copper
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	3.5361E-04
3.0000E+00	1.7204E-04
5.0000E+00	3.8881E-04
7.0000E+00	8.5172E-04
9.0000E+00	1.5185E-03
1.1000E+01	2.5175E-03
1.3000E+01	3.9095E-03
1.5000E+01	5.7486E-03
1.7000E+01	7.7857E-03
1.9000E+01	1.0196E-02
2.1000E+01	1.3029E-02
2.3000E+01	1.6171E-02
2.5000E+01	1.9546E-02
2.7000E+01	2.3112E-02
2.9000E+01	2.6839E-02
3.1000E+01	3.0693E-02
3.3000E+01	3.4622E-02
3.5000E+01	3.8545E-02
3.7000E+01	4.2428E-02
3.9000E+01	4.6233E-02
Copper
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	3.9895E-04
3.0000E+00	9.4880E-04
5.0000E+00	2.3917E-03
7.0000E+00	5.4188E-03
9.0000E+00	9.8851E-03
1.1000E+01	1.5086E-02
1.3000E+01	2.1710E-02
1.5000E+01	2.9883E-02
1.7000E+01	4.1000E-02
1.9000E+01	5.4072E-02
2.1000E+01	6.9646E-02
2.3000E+01	8.7336E-02
2.5000E+01	1.0648E-01
2.7000E+01	1.2671E-01
2.9000E+01	1.4745E-01
3.1000E+01	1.6776E-01
3.3000E+01	1.8661E-01
3.5000E+01	2.0338E-01
3.7000E+01	2.1806E-01
3.9000E+01	2.3096E-01
Copper
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	4.0434E-04
3.0000E+00	2.4418E-03
5.0000E+00	7.0145E-03
7.0000E+00	1.8341E-02
9.0000E+00	4.1238E-02
1.1000E+01	7.7729E-02
1.3000E+01	1.2459E-01
1.5000E+01	1.8264E-01
1.7000E+01	2.5175E-01
1.9000E+01	3.3138E-01
2.1000E+01	4.1810E-01
2.3000E+01	5.0909E-01
2.5000E+01	5.9462E-01
2.7000E+01	6.5689E-01
2.9000E+01	6.8469E-01
3.1000E+01	6.8481E-01
3.3000E+01	6.7550E-01
3.5000E+01	6.7235E-01
3.7000E+01	6.8366E-01
3.9000E+01	7.1211E-01
