Silver
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	3.6444E-05
3.0000E+00	1.5297E-03
5.0000E+00	2.2202E-03
7.0000E+00	5.5594E-03
9.0000E+00	9.7303E-03
1.1000E+01	1.0517E-02
1.3000E+01	1.1331E-02
1.5000E+01	1.4188E-02
1.7000E+01	1.8528E-02
1.9000E+01	2.3740E-02
2.1000E+01	2.9512E-02
2.3000E+01	3.5631E-02
2.5000E+01	4.1874E-02
2.7000E+01	4.8006E-02
2.9000E+01	5.3693E-02
3.1000E+01	5.8707E-02
3.3000E+01	6.2922E-02
3.5000E+01	6.6342E-02
3.7000E+01	6.9091E-02
3.9000E+01	7.1339E-02
Silver
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	1.7342E-04
3.0000E+00	5.9934E-03
5.0000E+00	1.4439E-02
7.0000E+00	3.4278E-02
9.0000E+00	7.6009E-02
1.1000E+01	6.2954E-02
1.3000E+01	5.2169E-02
1.5000E+01	6.6419E-02
1.7000E+01	8.9809E-02
1.9000E+01	1.1970E-01
2.1000E+01	1.5025E-01
2.3000E+01	1.7080E-01
2.5000E+01	1.7778E-01
2.7000E+01	1.7748E-01
2.9000E+01	1.7700E-01
3.1000E+01	1.7935E-01
3.3000E+01	1.8555E-01
3.5000E+01	1.9505E-01
3.7000E+01	2.0789E-01
3.9000E+01	2.2351E-01
Silver
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	3.5128E-04
3.0000E+00	1.4086E-02
5.0000E+00	4.7898E-02
7.0000E+00	1.5419E-01
9.0000E+00	5.8357E-01
1.1000E+01	5.2116E-01
1.3000E+01	3.1620E-01
1.5000E+01	3.9090E-01
1.7000E+01	6.2208E-01
1.9000E+01	9.2676E-01
2.1000E+01	1.0359E+00
2.3000E+01	9.0512E-01
2.5000E+01	7.4154E-01
2.7000E+01	6.4731E-01
2.9000E+01	6.2534E-01
3.1000E+01	6.5719E-01
3.3000E+01	7.2746E-01
3.5000E+01	8.2480E-01
3.7000E+01	9.4033E-01
3.9000E+01	1.0679E+00
