Xenon
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	6.4524E-05
3.0000E+00	2.9509E-03
5.0000E+00	7.6059E-03
7.0000E+00	6.5412E-03
9.0000E+00	1.0483E-02
1.1000E+01	1.0356E-02
1.3000E+01	7.6091E-03
1.5000E+01	6.9523E-03
1.7000E+01	7.6693E-03
1.9000E+01	9.4526E-03
2.1000E+01	1.2199E-02
2.3000E+01	1.5821E-02
2.5000E+01	2.0194E-02
2.7000E+01	2.5181E-02
2.9000E+01	3.0615E-02
3.1000E+01	3.6387E-02
3.3000E+01	4.2405E-02
3.5000E+01	4.8595E-02
3.7000E+01	5.4882E-02
3.9000E+01	6.1238E-02
Xenon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	1.2530E-04
3.0000E+00	7.0477E-03
5.0000E+00	2.5730E-02
7.0000E+00	2.9087E-02
9.0000E+00	4.9349E-02
1.1000E+01	3.0729E-02
1.3000E+01	1.8993E-02
1.5000E+01	2.0098E-02
1.7000E+01	2.9481E-02
1.9000E+01	4.4706E-02
2.1000E+01	6.4025E-02
2.3000E+01	8.7087E-02
2.5000E+01	1.1430E-01
2.7000E+01	1.4597E-01
2.9000E+01	1.8186E-01
3.1000E+01	2.2133E-01
3.3000E+01	2.6327E-01
3.5000E+01	3.0644E-01
3.7000E+01	3.4999E-01
3.9000E+01	3.9331E-01
Xenon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	1.4202E-04
3.0000E+00	8.4337E-03
5.0000E+00	4.1851E-02
7.0000E+00	8.1779E-02
9.0000E+00	1.5868E-01
1.1000E+01	1.6364E-01
1.3000E+01	1.2076E-01
1.5000E+01	1.3826E-01
1.7000E+01	2.0975E-01
1.9000E+01	3.1029E-01
2.1000E+01	4.4101E-01
2.3000E+01	6.3092E-01
2.5000E+01	8.7303E-01
2.7000E+01	1.1118E+00
2.9000E+01	1.3032E+00
3.1000E+01	1.4560E+00
3.3000E+01	1.6047E+00
3.5000E+01	1.7767E+00
3.7000E+01	1.9810E+00
3.9000E+01	2.2150E+00
