Carbon
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	1.2374E-06
3.0000E+00	2.7808E-05
5.0000E+00	1.0346E-03
7.0000E+00	9.2686E-04
9.0000E+00	2.9533E-04
1.1000E+01	1.3426E-04
1.3000E+01	7.8684E-05
1.5000E+01	5.3504E-05
1.7000E+01	3.9935E-05
1.9000E+01	3.1741E-05
2.1000E+01	2.6406E-05
2.3000E+01	2.2798E-05
2.5000E+01	2.0414E-05
2.7000E+01	1.9089E-05
2.9000E+01	1.8894E-05
3.1000E+01	2.0060E-05
3.3000E+01	2.2929E-05
3.5000E+01	2.7902E-05
3.7000E+01	3.5351E-05
3.9000E+01	4.5540E-05
Carbon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	2.1836E-06
3.0000E+00	1.7219E-04
5.0000E+00	2.2367E-03
7.0000E+00	3.4585E-03
9.0000E+00	1.4915E-03
1.1000E+01	7.6967E-04
1.3000E+01	4.8239E-04
1.5000E+01	3.4223E-04
1.7000E+01	2.6340E-04
1.9000E+01	2.1455E-04
2.1000E+01	1.8231E-04
2.3000E+01	1.6063E-04
2.5000E+01	1.4708E-04
2.7000E+01	1.4145E-04
2.9000E+01	1.4518E-04
3.1000E+01	1.6095E-04
3.3000E+01	1.9213E-04
3.5000E+01	2.4208E-04
3.7000E+01	3.1307E-04
3.9000E+01	4.0517E-04
Carbon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	2.4100E-06
3.0000E+00	6.5622E-04
5.0000E+00	3.3045E-03
7.0000E+00	1.2492E-02
9.0000E+00	1.0662E-02
1.1000E+01	6.4089E-03
1.3000E+01	4.2122E-03
1.5000E+01	3.0606E-03
1.7000E+01	2.3924E-03
1.9000E+01	1.9707E-03
2.1000E+01	1.6893E-03
2.3000E+01	1.4991E-03
2.5000E+01	1.3810E-03
2.7000E+01	1.3350E-03
2.9000E+01	1.3762E-03
3.1000E+01	1.5304E-03
3.3000E+01	1.8301E-03
3.5000E+01	2.3057E-03
3.7000E+01	2.9749E-03
3.9000E+01	3.8305E-03
