Tungsten
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	4.8197E-01
3.0000E+00	1.0724E+00
5.0000E+00	1.9289E-02
7.0000E+00	9.4506E-03
9.0000E+00	4.1614E-03
1.1000E+01	4.1115E-03
1.3000E+01	6.4323E-03
1.5000E+01	1.0408E-02
1.7000E+01	1.5285E-02
1.9000E+01	2.0356E-02
2.1000E+01	2.5196E-02
2.3000E+01	2.9640E-02
2.5000E+01	3.3588E-02
2.7000E+01	3.6967E-02
2.9000E+01	3.9667E-02
3.1000E+01	4.1506E-02
3.3000E+01	4.2512E-02
3.5000E+01	4.2768E-02
3.7000E+01	4.2463E-02
3.9000E+01	4.1857E-02
Tungsten
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	3.2736E-01
3.0000E+00	8.0788E+00
5.0000E+00	1.7079E-01
7.0000E+00	5.0162E-02
9.0000E+00	2.2475E-02
1.1000E+01	2.4255E-02
1.3000E+01	4.4812E-02
1.5000E+01	7.0280E-02
1.7000E+01	8.7291E-02
1.9000E+01	9.8490E-02
2.1000E+01	1.1013E-01
2.3000E+01	1.2294E-01
2.5000E+01	1.3600E-01
2.7000E+01	1.4926E-01
2.9000E+01	1.6318E-01
3.1000E+01	1.7788E-01
3.3000E+01	1.9365E-01
3.5000E+01	2.1037E-01
3.7000E+01	2.2782E-01
3.9000E+01	2.4628E-01
Tungsten
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: P_tot (1e-7 J/s/atom)
1.0000E+00	9.5750E-02
3.0000E+00	1.7316E+01
5.0000E+00	5.6795E+00
7.0000E+00	2.4990E-01
9.0000E+00	1.4378E-01
1.1000E+01	1.6373E-01
1.3000E+01	3.1001E-01
1.5000E+01	4.9193E-01
1.7000E+01	5.7881E-01
1.9000E+01	6.0618E-01
2.1000E+01	6.4276E-01
2.3000E+01	6.8688E-01
2.5000E+01	7.3643E-01
2.7000E+01	8.0160E-01
2.9000E+01	8.8861E-01
3.1000E+01	9.9774E-01
3.3000E+01	1.1286E+00
3.5000E+01	1.2903E+00
3.7000E+01	1.5342E+00
3.9000E+01	2.0192E+00
