Tungsten - LTE
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	9.3654E-01
3.0000E+00	3.0982E+00
5.0000E+00	5.1014E+00
7.0000E+00	5.9581E+00
9.0000E+00	6.3039E+00
1.1000E+01	7.4823E+00
1.3000E+01	8.8163E+00
1.5000E+01	9.9050E+00
1.7000E+01	1.0836E+01
1.9000E+01	1.1848E+01
2.1000E+01	1.5851E+01
2.3000E+01	1.7096E+01
2.5000E+01	1.7975E+01
2.7000E+01	1.8803E+01
2.9000E+01	1.9623E+01
3.1000E+01	2.0404E+01
3.3000E+01	2.1126E+01
3.5000E+01	2.1839E+01
3.7000E+01	2.2568E+01
3.9000E+01	2.3299E+01
Tungsten - LTE
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	6.2156E-01
3.0000E+00	2.2988E+00
5.0000E+00	4.2305E+00
7.0000E+00	5.6411E+00
9.0000E+00	5.9846E+00
1.1000E+01	6.4490E+00
1.3000E+01	7.4530E+00
1.5000E+01	8.5775E+00
1.7000E+01	9.5604E+00
1.9000E+01	1.0365E+01
2.1000E+01	1.1153E+01
2.3000E+01	1.3383E+01
2.5000E+01	1.6504E+01
2.7000E+01	1.7371E+01
2.9000E+01	1.8131E+01
3.1000E+01	1.8867E+01
3.3000E+01	1.9589E+01
3.5000E+01	2.0278E+01
3.7000E+01	2.0926E+01
3.9000E+01	2.1558E+01
Tungsten - LTE
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	1.8121E-01
3.0000E+00	1.3276E+00
5.0000E+00	3.0627E+00
7.0000E+00	4.6110E+00
9.0000E+00	5.5662E+00
1.1000E+01	5.9097E+00
1.3000E+01	6.3180E+00
1.5000E+01	7.0539E+00
1.7000E+01	7.9616E+00
1.9000E+01	8.8511E+00
2.1000E+01	9.6153E+00
2.3000E+01	1.0280E+01
2.5000E+01	1.0961E+01
2.7000E+01	1.3554E+01
2.9000E+01	1.6327E+01
3.1000E+01	1.7115E+01
3.3000E+01	1.7795E+01
3.5000E+01	1.8453E+01
3.7000E+01	1.9096E+01
3.9000E+01	1.9717E+01
