Silicon
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	8.0006E-01
3.0000E+00	2.1954E+00
5.0000E+00	3.5334E+00
7.0000E+00	3.9575E+00
9.0000E+00	3.9916E+00
1.1000E+01	4.0014E+00
1.3000E+01	4.0451E+00
1.5000E+01	4.2157E+00
1.7000E+01	4.5091E+00
1.9000E+01	4.7758E+00
2.1000E+01	4.9847E+00
2.3000E+01	5.1741E+00
2.5000E+01	5.3576E+00
2.7000E+01	5.5317E+00
2.9000E+01	5.6937E+00
3.1000E+01	5.8429E+00
3.3000E+01	5.9804E+00
3.5000E+01	6.1076E+00
3.7000E+01	6.2251E+00
3.9000E+01	6.3345E+00
Silicon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	3.4378E-01
3.0000E+00	1.9861E+00
5.0000E+00	3.1765E+00
7.0000E+00	3.8759E+00
9.0000E+00	3.9724E+00
1.1000E+01	4.0100E+00
1.3000E+01	4.1803E+00
1.5000E+01	4.5687E+00
1.7000E+01	4.8966E+00
1.9000E+01	5.1616E+00
2.1000E+01	5.4441E+00
2.3000E+01	5.7101E+00
2.5000E+01	5.9407E+00
2.7000E+01	6.1510E+00
2.9000E+01	6.3468E+00
3.1000E+01	6.5239E+00
3.3000E+01	6.6803E+00
3.5000E+01	6.8197E+00
3.7000E+01	6.9476E+00
3.9000E+01	7.0683E+00
Silicon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	6.8118E-02
3.0000E+00	1.6477E+00
5.0000E+00	2.4933E+00
7.0000E+00	3.4019E+00
9.0000E+00	3.8060E+00
1.1000E+01	3.9434E+00
1.3000E+01	4.2137E+00
1.5000E+01	4.6714E+00
1.7000E+01	5.0388E+00
1.9000E+01	5.4000E+00
2.1000E+01	5.7428E+00
2.3000E+01	6.0416E+00
2.5000E+01	6.3215E+00
2.7000E+01	6.5749E+00
2.9000E+01	6.7908E+00
3.1000E+01	6.9814E+00
3.3000E+01	7.1642E+00
3.5000E+01	7.3463E+00
3.7000E+01	7.5265E+00
3.9000E+01	7.7015E+00
