Copper
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	5.2504E-02
3.0000E+00	2.8965E+00
5.0000E+00	3.9169E+00
7.0000E+00	4.6748E+00
9.0000E+00	5.1853E+00
1.1000E+01	5.7073E+00
1.3000E+01	6.0625E+00
1.5000E+01	6.3833E+00
1.7000E+01	6.6706E+00
1.9000E+01	6.9080E+00
2.1000E+01	7.1196E+00
2.3000E+01	7.3203E+00
2.5000E+01	7.5101E+00
2.7000E+01	7.6882E+00
2.9000E+01	7.8559E+00
3.1000E+01	8.0150E+00
3.3000E+01	8.1674E+00
3.5000E+01	8.3162E+00
3.7000E+01	8.4614E+00
3.9000E+01	8.6029E+00
Copper
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	6.4916E-03
3.0000E+00	2.4299E+00
5.0000E+00	3.7439E+00
7.0000E+00	4.6997E+00
9.0000E+00	5.4386E+00
1.1000E+01	6.0680E+00
1.3000E+01	6.6137E+00
1.5000E+01	7.0328E+00
1.7000E+01	7.4067E+00
1.9000E+01	7.7444E+00
2.1000E+01	8.0362E+00
2.3000E+01	8.3036E+00
2.5000E+01	8.5521E+00
2.7000E+01	8.7835E+00
2.9000E+01	9.0037E+00
3.1000E+01	9.2168E+00
3.3000E+01	9.4231E+00
3.5000E+01	9.6180E+00
3.7000E+01	9.7957E+00
3.9000E+01	9.9533E+00
Copper
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	8.9182E-04
3.0000E+00	1.4249E+00
5.0000E+00	2.9727E+00
7.0000E+00	4.0913E+00
9.0000E+00	5.0283E+00
1.1000E+01	5.8464E+00
1.3000E+01	6.5490E+00
1.5000E+01	7.1386E+00
1.7000E+01	7.6795E+00
1.9000E+01	8.1634E+00
2.1000E+01	8.6044E+00
2.3000E+01	9.0045E+00
2.5000E+01	9.3818E+00
2.7000E+01	9.7392E+00
2.9000E+01	1.0059E+01
3.1000E+01	1.0320E+01
3.3000E+01	1.0516E+01
3.5000E+01	1.0661E+01
3.7000E+01	1.0769E+01
3.9000E+01	1.0857E+01
