Xenon - SS
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	5.6300E-01
3.0000E+00	3.2348E+00
5.0000E+00	4.9520E+00
7.0000E+00	5.8899E+00
9.0000E+00	6.4148E+00
1.1000E+01	7.4175E+00
1.3000E+01	7.8035E+00
1.5000E+01	7.9101E+00
1.7000E+01	7.9613E+00
1.9000E+01	8.0075E+00
2.1000E+01	8.0640E+00
2.3000E+01	8.1366E+00
2.5000E+01	8.2267E+00
2.7000E+01	8.3323E+00
2.9000E+01	8.4519E+00
3.1000E+01	8.5824E+00
3.3000E+01	8.7212E+00
3.5000E+01	8.8664E+00
3.7000E+01	9.0170E+00
3.9000E+01	9.1708E+00
Xenon - SS
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	1.2904E-01
3.0000E+00	2.6524E+00
5.0000E+00	4.6818E+00
7.0000E+00	5.9036E+00
9.0000E+00	6.9330E+00
1.1000E+01	7.7592E+00
1.3000E+01	7.9395E+00
1.5000E+01	8.0170E+00
1.7000E+01	8.1428E+00
1.9000E+01	8.3489E+00
2.1000E+01	8.6040E+00
2.3000E+01	8.8694E+00
2.5000E+01	9.1276E+00
2.7000E+01	9.3731E+00
2.9000E+01	9.6073E+00
3.1000E+01	9.8321E+00
3.3000E+01	1.0051E+01
3.5000E+01	1.0267E+01
3.7000E+01	1.0481E+01
3.9000E+01	1.0690E+01
Xenon - SS
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	1.9902E-02
3.0000E+00	1.5881E+00
5.0000E+00	3.6423E+00
7.0000E+00	5.1908E+00
9.0000E+00	6.2878E+00
1.1000E+01	7.3256E+00
1.3000E+01	7.7592E+00
1.5000E+01	7.9534E+00
1.7000E+01	8.2136E+00
1.9000E+01	8.6249E+00
2.1000E+01	9.1103E+00
2.3000E+01	9.5861E+00
2.5000E+01	1.0034E+01
2.7000E+01	1.0472E+01
2.9000E+01	1.0899E+01
3.1000E+01	1.1299E+01
3.3000E+01	1.1660E+01
3.5000E+01	1.1982E+01
3.7000E+01	1.2273E+01
3.9000E+01	1.2541E+01
