Aluminium
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	9.5171E-01
3.0000E+00	2.4585E+00
5.0000E+00	2.9853E+00
7.0000E+00	3.0001E+00
9.0000E+00	3.1175E+00
1.1000E+01	3.6255E+00
1.3000E+01	3.9765E+00
1.5000E+01	4.2659E+00
1.7000E+01	4.5893E+00
1.9000E+01	4.8602E+00
2.1000E+01	5.0915E+00
2.3000E+01	5.3033E+00
2.5000E+01	5.4910E+00
2.7000E+01	5.6514E+00
2.9000E+01	5.7903E+00
3.1000E+01	5.9145E+00
3.3000E+01	6.0298E+00
3.5000E+01	6.1396E+00
3.7000E+01	6.2455E+00
3.9000E+01	6.3487E+00
Aluminium
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	7.2557E-01
3.0000E+00	1.9825E+00
5.0000E+00	2.9107E+00
7.0000E+00	2.9893E+00
9.0000E+00	3.2553E+00
1.1000E+01	3.8268E+00
1.3000E+01	4.1866E+00
1.5000E+01	4.6151E+00
1.7000E+01	4.9576E+00
1.9000E+01	5.2607E+00
2.1000E+01	5.5495E+00
2.3000E+01	5.7824E+00
2.5000E+01	5.9712E+00
2.7000E+01	6.1474E+00
2.9000E+01	6.3239E+00
3.1000E+01	6.4982E+00
3.3000E+01	6.6658E+00
3.5000E+01	6.8250E+00
3.7000E+01	6.9763E+00
3.9000E+01	7.1208E+00
Aluminium
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	2.9748E-01
3.0000E+00	1.4042E+00
5.0000E+00	2.4926E+00
7.0000E+00	2.8540E+00
9.0000E+00	3.0940E+00
1.1000E+01	3.7158E+00
1.3000E+01	4.1998E+00
1.5000E+01	4.6921E+00
1.7000E+01	5.0947E+00
1.9000E+01	5.4697E+00
2.1000E+01	5.7753E+00
2.3000E+01	6.0241E+00
2.5000E+01	6.2705E+00
2.7000E+01	6.5233E+00
2.9000E+01	6.7678E+00
3.1000E+01	6.9995E+00
3.3000E+01	7.2211E+00
3.5000E+01	7.4324E+00
3.7000E+01	7.6318E+00
3.9000E+01	7.8179E+00
