Silver
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	9.1554E-01
3.0000E+00	2.5674E+00
5.0000E+00	3.8374E+00
7.0000E+00	4.5275E+00
9.0000E+00	5.1921E+00
1.1000E+01	5.9604E+00
1.3000E+01	6.5830E+00
1.5000E+01	7.0222E+00
1.7000E+01	7.3772E+00
1.9000E+01	7.6881E+00
2.1000E+01	7.9685E+00
2.3000E+01	8.2277E+00
2.5000E+01	8.4739E+00
2.7000E+01	8.7119E+00
2.9000E+01	8.9464E+00
3.1000E+01	9.1751E+00
3.3000E+01	9.3927E+00
3.5000E+01	9.5943E+00
3.7000E+01	9.7759E+00
3.9000E+01	9.9361E+00
Silver
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	5.6278E-01
3.0000E+00	2.1536E+00
5.0000E+00	3.6509E+00
7.0000E+00	4.6795E+00
9.0000E+00	5.2554E+00
1.1000E+01	6.4063E+00
1.3000E+01	7.2964E+00
1.5000E+01	7.8993E+00
1.7000E+01	8.3749E+00
1.9000E+01	8.7758E+00
2.1000E+01	9.1721E+00
2.3000E+01	9.5914E+00
2.5000E+01	9.9743E+00
2.7000E+01	1.0268E+01
2.9000E+01	1.0472E+01
3.1000E+01	1.0615E+01
3.3000E+01	1.0720E+01
3.5000E+01	1.0803E+01
3.7000E+01	1.0873E+01
3.9000E+01	1.0937E+01
Silver
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	1.5806E-01
3.0000E+00	1.5500E+00
5.0000E+00	2.9561E+00
7.0000E+00	4.1877E+00
9.0000E+00	5.0472E+00
1.1000E+01	6.1317E+00
1.3000E+01	7.1862E+00
1.5000E+01	7.9935E+00
1.7000E+01	8.6495E+00
1.9000E+01	9.2371E+00
2.1000E+01	9.8337E+00
2.3000E+01	1.0320E+01
2.5000E+01	1.0623E+01
2.7000E+01	1.0806E+01
2.9000E+01	1.0937E+01
3.1000E+01	1.1057E+01
3.3000E+01	1.1186E+01
3.5000E+01	1.1331E+01
3.7000E+01	1.1494E+01
3.9000E+01	1.1672E+01
