Carbon
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	3.3998E-01
3.0000E+00	1.9698E+00
5.0000E+00	2.5629E+00
7.0000E+00	3.6797E+00
9.0000E+00	3.9480E+00
1.1000E+01	3.9857E+00
1.3000E+01	3.9943E+00
1.5000E+01	3.9971E+00
1.7000E+01	3.9982E+00
1.9000E+01	3.9988E+00
2.1000E+01	3.9992E+00
2.3000E+01	3.9994E+00
2.5000E+01	3.9998E+00
2.7000E+01	4.0005E+00
2.9000E+01	4.0019E+00
3.1000E+01	4.0049E+00
3.3000E+01	4.0105E+00
3.5000E+01	4.0201E+00
3.7000E+01	4.0353E+00
3.9000E+01	4.0581E+00
Carbon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	6.6740E-02
3.0000E+00	1.8016E+00
5.0000E+00	2.3047E+00
7.0000E+00	3.5732E+00
9.0000E+00	3.9290E+00
1.1000E+01	3.9794E+00
1.3000E+01	3.9905E+00
1.5000E+01	3.9943E+00
1.7000E+01	3.9961E+00
1.9000E+01	3.9971E+00
2.1000E+01	3.9978E+00
2.3000E+01	3.9983E+00
2.5000E+01	3.9990E+00
2.7000E+01	4.0005E+00
2.9000E+01	4.0035E+00
3.1000E+01	4.0096E+00
3.3000E+01	4.0209E+00
3.5000E+01	4.0401E+00
3.7000E+01	4.0699E+00
3.9000E+01	4.1125E+00
Carbon
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	9.8748E-03
3.0000E+00	1.2986E+00
5.0000E+00	1.9587E+00
7.0000E+00	2.7871E+00
9.0000E+00	3.6399E+00
1.1000E+01	3.8752E+00
1.3000E+01	3.9369E+00
1.5000E+01	3.9599E+00
1.7000E+01	3.9711E+00
1.9000E+01	3.9776E+00
2.1000E+01	3.9819E+00
2.3000E+01	3.9849E+00
2.5000E+01	3.9876E+00
2.7000E+01	3.9904E+00
2.9000E+01	3.9947E+00
3.1000E+01	4.0020E+00
3.3000E+01	4.0150E+00
3.5000E+01	4.0367E+00
3.7000E+01	4.0705E+00
3.9000E+01	4.1190E+00
