Tungsten
Te sampling: 2eV
ne sampling: 10	
# Dens: 1.e+17
# Parameter: Z
1.0000E+00	9.3608E-01
3.0000E+00	2.2729E+00
5.0000E+00	4.3970E+00
7.0000E+00	5.7057E+00
9.0000E+00	5.9539E+00
1.1000E+01	6.0105E+00
1.3000E+01	6.1099E+00
1.5000E+01	6.2869E+00
1.7000E+01	6.5279E+00
1.9000E+01	6.8084E+00
2.1000E+01	7.1079E+00
2.3000E+01	7.4133E+00
2.5000E+01	7.7219E+00
2.7000E+01	8.0348E+00
2.9000E+01	8.3547E+00
3.1000E+01	8.6876E+00
3.3000E+01	9.0331E+00
3.5000E+01	9.3920E+00
3.7000E+01	9.7632E+00
3.9000E+01	1.0141E+01
Tungsten
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+18
# Parameter: Z
1.0000E+00	6.2141E-01
3.0000E+00	1.7257E+00
5.0000E+00	4.1111E+00
7.0000E+00	5.5286E+00
9.0000E+00	5.9229E+00
1.1000E+01	6.0119E+00
1.3000E+01	6.1938E+00
1.5000E+01	6.5986E+00
1.7000E+01	7.1611E+00
1.9000E+01	7.7230E+00
2.1000E+01	8.2193E+00
2.3000E+01	8.6546E+00
2.5000E+01	9.0359E+00
2.7000E+01	9.3708E+00
2.9000E+01	9.6719E+00
3.1000E+01	9.9561E+00
3.3000E+01	1.0233E+01
3.5000E+01	1.0508E+01
3.7000E+01	1.0783E+01
3.9000E+01	1.1052E+01
Tungsten
Te sampling: 2eV
ne sampling: 10
# Dens: 1.e+19
# Parameter: Z
1.0000E+00	1.8120E-01
3.0000E+00	1.2134E+00
5.0000E+00	2.8983E+00
7.0000E+00	4.5890E+00
9.0000E+00	5.5500E+00
1.1000E+01	5.8605E+00
1.3000E+01	6.0840E+00
1.5000E+01	6.5121E+00
1.7000E+01	7.1741E+00
1.9000E+01	7.8864E+00
2.1000E+01	8.5312E+00
2.3000E+01	9.0850E+00
2.5000E+01	9.5460E+00
2.7000E+01	9.9379E+00
2.9000E+01	1.0291E+01
3.1000E+01	1.0622E+01
3.3000E+01	1.0939E+01
3.5000E+01	1.1265E+01
3.7000E+01	1.1696E+01
3.9000E+01	1.2500E+01
